               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.032596,            0.017145,           0.0015647,             0.84328,             0.78796,             0.81715,             0.39591,            0.031099,           0.0076938,           0.0022085,            0.008317,            0.008317,            0.008317
                  36,            0.031776,            0.016616,           0.0017353,              0.9044,             0.80199,             0.85014,             0.38452,            0.032595,           0.0078263,           0.0020779,           0.0082675,           0.0082675,           0.0082675
                  37,            0.031568,            0.016316,           0.0023345,              0.7983,             0.71931,             0.75093,             0.38919,            0.033256,           0.0083116,           0.0016342,            0.008218,            0.008218,            0.008218
                  38,            0.030192,            0.016855,           0.0025792,             0.83995,             0.80309,             0.84346,             0.40583,            0.033185,           0.0076738,           0.0021741,           0.0081685,           0.0081685,           0.0081685
                  39,            0.031343,            0.016743,           0.0021956,             0.87186,             0.75742,             0.80631,             0.38107,            0.033243,           0.0079589,           0.0023817,            0.008119,            0.008119,            0.008119
                  40,            0.030824,             0.01696,           0.0012684,               0.886,              0.7936,             0.85326,             0.41277,             0.03164,           0.0079098,           0.0023506,           0.0080695,           0.0080695,           0.0080695
                  41,            0.030769,            0.016525,           0.0012174,             0.91443,             0.83403,             0.87251,             0.42745,            0.031966,           0.0079892,          0.00085407,             0.00802,             0.00802,             0.00802
                  42,            0.030289,            0.016274,           0.0012937,             0.85863,             0.81925,             0.84968,             0.42784,            0.032813,           0.0080183,           0.0019692,           0.0079705,           0.0079705,           0.0079705
                  43,            0.029975,            0.015682,           0.0012673,             0.86005,              0.8526,             0.86916,             0.41312,            0.033582,            0.007968,          0.00070983,            0.007921,            0.007921,            0.007921
                  44,            0.029307,            0.016034,           0.0010739,             0.84056,             0.84096,             0.86036,             0.43455,             0.03197,           0.0075136,            0.002241,           0.0078715,           0.0078715,           0.0078715
                  45,            0.030797,            0.016173,           0.0011638,             0.93512,             0.80852,             0.87347,             0.44893,            0.031258,           0.0073242,           0.0018201,            0.007822,            0.007822,            0.007822
                  46,             0.03014,             0.01595,           0.0012379,             0.89658,             0.79471,             0.84451,             0.36912,            0.035666,           0.0080225,           0.0018355,           0.0077725,           0.0077725,           0.0077725
                  47,            0.029647,            0.015368,           0.0011975,             0.90868,             0.86281,             0.86758,             0.45385,            0.030749,           0.0076292,          0.00061755,            0.007723,            0.007723,            0.007723
                  48,             0.02983,            0.015416,          0.00098705,             0.88997,             0.77168,             0.82013,             0.44684,            0.033379,           0.0076646,           0.0020955,           0.0076735,           0.0076735,           0.0076735
                  49,            0.029403,            0.015621,           0.0010305,             0.84875,             0.86798,             0.86311,             0.47775,            0.032249,           0.0074833,           0.0010744,            0.007624,            0.007624,            0.007624
                  50,            0.029136,            0.015827,          0.00091998,             0.90501,              0.8032,             0.86403,             0.48798,            0.029085,           0.0071565,           0.0013253,           0.0075745,           0.0075745,           0.0075745
                  51,            0.029444,            0.016322,           0.0014616,              0.8975,             0.79944,             0.83792,             0.43454,            0.031824,             0.00782,           0.0020915,            0.007525,            0.007525,            0.007525
                  52,            0.029026,             0.01481,           0.0010821,             0.87298,             0.73419,             0.79214,             0.40292,            0.032014,           0.0082282,           0.0040309,           0.0074755,           0.0074755,           0.0074755
                  53,            0.029389,            0.014808,           0.0012702,             0.91982,             0.76186,              0.8195,             0.37984,             0.03561,           0.0088151,           0.0021011,            0.007426,            0.007426,            0.007426
                  54,             0.02971,            0.016028,           0.0012942,             0.88066,             0.81883,               0.851,             0.47982,            0.029581,            0.007868,           0.0021254,           0.0073765,           0.0073765,           0.0073765
                  55,            0.029076,             0.01501,            0.001622,               0.843,             0.75456,             0.80946,             0.39394,            0.032247,           0.0084323,           0.0049697,            0.007327,            0.007327,            0.007327
                  56,            0.027541,            0.015352,           0.0015198,             0.86327,             0.84604,             0.85804,             0.45188,            0.032624,           0.0081893,           0.0011016,           0.0072775,           0.0072775,           0.0072775
                  57,            0.028733,            0.015374,           0.0015991,             0.88613,              0.8271,             0.83655,              0.3919,            0.034974,           0.0082081,          0.00050558,            0.007228,            0.007228,            0.007228
                  58,            0.028449,            0.014973,            0.001201,             0.91712,             0.79057,             0.83458,             0.40082,            0.034273,           0.0078658,           0.0033438,           0.0071785,           0.0071785,           0.0071785
